location,number_of_cows,farm_size,date,product_name,brand,quantity,price_per_unit,total_value,shelf_life,quantity_sold,price_per_unit_sold,total_revenue,customer_location,sales_channel,quantity_in_stock,id
Haryana,95,Large,2019-10-09,Milk,Sudha,659,53.89,35514.5878,2,511,58.81,30051.91,Tamil Nadu,Online,148,1124
Chandigarh,82,Small,2022-05-08,Butter,Mother Dairy,908,81.67,74234.7632,29,787,81.72,64313.64,Telangana,Retail,121,1125
Haryana,67,Small,2022-04-13,Lassi,Raj,178,27.37,4878.7025,16,123,31.42,3864.66,West Bengal,Wholesale,55,1126
Telangana,56,Small,2022-09-27,Paneer,Raj,988,93.02,91933.5264,8,899,94.59,85036.41,Maharashtra,Wholesale,89,1127
Tamil Nadu,90,Large,2019-01-17,Yogurt,Palle2patnam,597,45.62,27247.9136,30,52,41.39,2152.28,Bihar,Wholesale,545,1128
Kerala,14,Large,2020-06-04,Ice Cream,Palle2patnam,377,40.63,15353.2644,24,137,36.08,4942.96,Delhi,Online,240,1129
Delhi,27,Large,2019-11-08,Buttermilk,Raj,474,47.88,22727.199600000004,12,221,44.0,9724.0,Delhi,Online,253,1130
Kerala,87,Small,2020-03-24,Paneer,Sudha,624,35.29,22050.6036,9,366,38.27,14006.82,Uttar Pradesh,Wholesale,258,1131
Delhi,55,Medium,2022-04-02,Paneer,Sudha,143,84.68,12149.8864,8,34,82.92,2819.28,Maharashtra,Wholesale,109,1132
Delhi,42,Large,2019-10-24,Ice Cream,Mother Dairy,752,70.52,53058.5428,30,495,67.94,33630.3,Gujarat,Wholesale,257,1133
Haryana,35,Large,2019-12-02,Curd,Mother Dairy,877,26.87,23568.7518,7,485,22.78,11048.3,Tamil Nadu,Retail,392,1134
Bihar,31,Medium,2022-08-10,Ice Cream,Palle2patnam,340,65.71,22382.1402,28,42,61.83,2596.86,Rajasthan,Online,298,1135
Madhya Pradesh,97,Medium,2022-07-14,Curd,Raj,310,46.24,14369.5424,5,278,41.98,11670.44,Delhi,Wholesale,32,1136
Madhya Pradesh,10,Medium,2020-11-14,Cheese,Britannia Industries,603,78.68,47467.644,26,455,81.2,36946.0,Haryana,Wholesale,148,1137
Uttar Pradesh,58,Small,2019-09-28,Lassi,Mother Dairy,503,69.95,35238.7115,15,282,73.59,20752.38,Karnataka,Online,221,1138
Gujarat,27,Medium,2019-11-15,Lassi,Amul,235,65.57,15409.605699999998,16,142,68.12,9673.04,Tamil Nadu,Wholesale,93,1139
Delhi,41,Large,2019-07-07,Ghee,Amul,97,32.13,3117.5739000000003,113,58,32.97,1912.26,Bihar,Online,39,1140
Bihar,42,Medium,2019-01-06,Buttermilk,Amul,152,61.52,9400.256,9,111,57.76,6411.36,West Bengal,Wholesale,41,1141
Chandigarh,46,Small,2021-02-19,Milk,Amul,492,14.94,7364.523599999999,1,21,12.06,253.26,Haryana,Wholesale,471,1142
Delhi,98,Medium,2022-05-21,Milk,Mother Dairy,850,16.54,14063.631199999998,1,90,18.71,1683.9,Telangana,Wholesale,760,1143
Delhi,21,Small,2022-08-19,Paneer,Mother Dairy,297,82.85,24680.1865,13,2,81.18,162.36,Maharashtra,Online,295,1144
Uttar Pradesh,21,Large,2021-03-10,Cheese,Passion Cheese,846,35.34,29916.7236,34,117,36.52,4272.84,Haryana,Retail,729,1145
Tamil Nadu,90,Large,2020-07-19,Ghee,Sudha,680,85.47,58159.7709,120,203,87.38,17738.14,Tamil Nadu,Retail,477,1146
Maharashtra,10,Large,2020-09-09,Lassi,Mother Dairy,259,35.96,9319.3936,14,129,39.15,5050.35,Madhya Pradesh,Wholesale,130,1147
Delhi,86,Medium,2019-04-06,Cheese,Britannia Industries,752,11.21,8433.507200000002,61,310,8.43,2613.3,Jharkhand,Retail,442,1148
Jharkhand,84,Medium,2019-02-08,Paneer,Sudha,759,13.43,10197.5333,9,381,9.37,3569.97,Tamil Nadu,Wholesale,378,1149
Karnataka,19,Large,2022-10-27,Cheese,Dynamix Dairies,620,50.32,31202.4256,37,341,50.23,17128.43,West Bengal,Wholesale,279,1150
Jharkhand,40,Small,2020-11-15,Butter,Warana,798,40.67,32468.081100000003,40,137,40.19,5506.03,Gujarat,Retail,661,1151
Kerala,27,Small,2021-07-05,Paneer,Mother Dairy,21,32.93,722.1549,10,14,28.04,392.56,Uttar Pradesh,Retail,7,1152
Bihar,71,Medium,2019-05-25,Buttermilk,Mother Dairy,129,65.45,8472.5025,14,48,66.03,3169.44,Haryana,Online,81,1153
West Bengal,70,Small,2019-12-15,Ghee,Amul,724,83.59,60568.47810000001,89,520,83.23,43279.6,Maharashtra,Wholesale,204,1154
Maharashtra,89,Small,2020-08-21,Lassi,Mother Dairy,16,63.96,1039.35,17,2,66.52,133.04,Gujarat,Online,14,1155
Rajasthan,74,Medium,2022-01-04,Yogurt,Mother Dairy,881,38.5,33940.83,27,690,40.11,27675.9,Chandigarh,Retail,191,1156
Madhya Pradesh,69,Large,2020-04-11,Ice Cream,Palle2patnam,638,71.06,45375.363,30,165,71.44,11787.6,Tamil Nadu,Wholesale,473,1157
Bihar,86,Large,2020-04-12,Ghee,Mother Dairy,327,64.88,21217.0576,93,237,59.91,14198.67,Uttar Pradesh,Wholesale,90,1158
Uttar Pradesh,37,Medium,2021-04-01,Yogurt,Dodla Dairy,357,36.88,13176.1176,26,77,38.84,2990.68,Chandigarh,Retail,280,1159
Karnataka,90,Small,2022-09-06,Butter,Amul,928,59.92,55650.7,39,601,62.99,37856.99,Karnataka,Retail,327,1160
Uttar Pradesh,30,Small,2022-10-19,Ghee,Sudha,172,66.64,11512.06,91,12,71.39,856.68,Uttar Pradesh,Online,160,1161
Delhi,93,Large,2019-11-24,Ice Cream,Amul,683,18.25,12472.5975,25,244,19.58,4777.52,Madhya Pradesh,Retail,439,1162
Gujarat,79,Medium,2019-03-06,Ghee,Mother Dairy,484,80.02,38765.689,144,214,76.34,16336.76,Kerala,Online,270,1163
Delhi,65,Large,2022-09-18,Buttermilk,Raj,834,18.38,15329.2876,14,439,19.25,8450.75,Telangana,Retail,395,1164
Gujarat,68,Medium,2019-02-10,Milk,Sudha,849,48.31,41043.6929,28,70,47.96,3357.2,Delhi,Online,779,1165
Chandigarh,89,Large,2019-10-08,Butter,Mother Dairy,53,94.21,5076.9769,38,9,92.84,835.56,Maharashtra,Online,44,1166
Delhi,76,Small,2019-11-26,Milk,Raj,230,94.44,21745.7544,2,60,95.76,5745.6,Kerala,Retail,170,1167
Delhi,39,Medium,2022-06-26,Milk,Amul,126,10.62,1346.1912,1,93,10.0,930.0,Tamil Nadu,Retail,33,1168
Delhi,59,Small,2021-03-19,Yogurt,Dodla Dairy,536,11.53,6191.4947,25,462,14.48,6689.76,Delhi,Wholesale,74,1169
Rajasthan,78,Large,2019-08-01,Curd,Raj,125,56.31,7089.429000000001,6,17,53.33,906.61,Telangana,Retail,108,1170
Maharashtra,85,Large,2020-05-27,Ice Cream,Palle2patnam,393,78.43,30881.028200000004,29,235,79.22,18616.7,Delhi,Wholesale,158,1171
Kerala,60,Small,2021-06-27,Yogurt,Mother Dairy,973,78.52,76428.2272,26,502,75.31,37805.62,Telangana,Wholesale,471,1172
Tamil Nadu,72,Medium,2021-02-10,Ghee,Raj,791,88.69,70177.73629999999,74,71,85.26,6053.46,Uttar Pradesh,Retail,720,1173
Kerala,60,Small,2022-12-16,Buttermilk,Raj,637,74.14,47257.5774,12,309,70.77,21867.93,Jharkhand,Online,328,1174
Delhi,73,Medium,2019-08-02,Paneer,Amul,25,16.33,419.5177,12,23,18.1,416.3,Telangana,Retail,2,1175
Karnataka,83,Large,2021-08-09,Lassi,Amul,891,58.03,51741.2889,14,257,59.66,15332.62,Chandigarh,Wholesale,634,1176
Jharkhand,43,Large,2019-08-20,Milk,Raj,828,17.69,14663.948600000002,26,556,19.74,10975.44,Madhya Pradesh,Wholesale,272,1177
Maharashtra,77,Medium,2021-05-05,Milk,Mother Dairy,200,82.22,16520.4646,2,192,79.69,15300.48,Kerala,Retail,8,1178
Jharkhand,13,Medium,2019-02-02,Lassi,Amul,270,27.73,7509.8386,13,13,28.12,365.56,Karnataka,Online,257,1179
Telangana,41,Large,2021-08-09,Yogurt,Palle2patnam,234,57.14,13425.043,28,73,52.67,3844.91,Bihar,Retail,161,1180
Telangana,59,Large,2020-11-02,Cheese,Passion Cheese,396,67.77,26887.0698,41,37,66.37,2455.69,Kerala,Wholesale,359,1181
Jharkhand,21,Large,2019-12-19,Yogurt,Mother Dairy,441,79.32,34981.706399999995,26,201,82.16,16514.16,Kerala,Wholesale,240,1182
Haryana,12,Small,2019-01-09,Buttermilk,Sudha,662,19.8,13108.59,11,394,16.49,6497.06,Uttar Pradesh,Online,268,1183
Madhya Pradesh,17,Small,2021-07-13,Paneer,Amul,843,95.52,80550.1056,8,109,97.67,10646.03,Jharkhand,Wholesale,734,1184
Chandigarh,29,Small,2021-01-10,Curd,Mother Dairy,487,84.11,40995.214,5,267,85.01,22697.67,Maharashtra,Retail,220,1185
Delhi,43,Large,2021-10-18,Ghee,Raj,986,18.91,18653.0131,61,338,14.66,4955.08,Uttar Pradesh,Wholesale,648,1186
Tamil Nadu,93,Small,2019-01-09,Curd,Raj,575,92.01,52930.5927,5,295,93.5,27582.5,Jharkhand,Online,280,1187
Karnataka,79,Large,2019-10-04,Cheese,Amul,739,14.68,10859.2364,83,435,19.27,8382.45,Uttar Pradesh,Wholesale,304,1188
Jharkhand,88,Large,2021-02-25,Lassi,Sudha,579,84.22,48792.857,12,356,79.41,28269.96,Kerala,Online,223,1189
Chandigarh,19,Small,2020-06-27,Buttermilk,Mother Dairy,836,35.66,29846.3502,14,268,33.14,8881.52,Gujarat,Online,568,1190
Tamil Nadu,74,Small,2022-05-12,Cheese,Dynamix Dairies,614,97.94,60135.16,68,72,101.22,7287.84,Gujarat,Online,542,1191
Chandigarh,50,Small,2022-04-25,Butter,Parag Milk Foods,22,31.05,694.278,40,19,30.48,579.12,Uttar Pradesh,Online,3,1192
Karnataka,96,Small,2022-06-22,Ghee,Raj,368,74.86,27579.1726,109,221,76.38,16879.98,Chandigarh,Online,147,1193
Haryana,54,Large,2020-10-07,Paneer,Raj,345,82.96,28673.4648,13,96,81.05,7780.8,Uttar Pradesh,Online,249,1194
West Bengal,24,Large,2021-02-25,Cheese,Passion Cheese,13,16.13,218.8841,69,11,11.72,128.92,Rajasthan,Wholesale,2,1195
Karnataka,25,Medium,2019-11-22,Curd,Sudha,260,47.95,12503.9215,7,57,49.37,2814.09,Delhi,Online,203,1196
Kerala,38,Small,2019-01-27,Ghee,Raj,456,36.37,16620.7263,147,9,40.53,364.77,Maharashtra,Online,447,1197
Karnataka,58,Medium,2020-07-07,Milk,Mother Dairy,180,46.67,8427.2019,27,4,43.05,172.2,Uttar Pradesh,Wholesale,176,1198
Kerala,56,Large,2019-09-11,Lassi,Amul,593,69.61,41279.4261,17,472,74.58,35201.76,Maharashtra,Retail,121,1199
Uttar Pradesh,63,Small,2020-11-08,Paneer,Amul,157,40.54,6390.7256,11,87,43.05,3745.35,Tamil Nadu,Wholesale,70,1200
Uttar Pradesh,53,Small,2021-05-02,Yogurt,Amul,90,68.3,6192.761,28,74,69.42,5137.08,Kerala,Retail,16,1201
Delhi,44,Large,2022-05-21,Cheese,Passion Cheese,594,79.49,47246.4713,32,549,81.69,44847.81,Bihar,Retail,45,1202
Gujarat,18,Small,2022-06-27,Ghee,Raj,86,57.49,4974.0348,81,1,62.14,62.14,Delhi,Wholesale,85,1203
Uttar Pradesh,98,Large,2022-08-09,Curd,Mother Dairy,912,63.81,58257.253800000006,5,52,66.4,3452.8,Karnataka,Retail,860,1204
Chandigarh,19,Small,2020-08-26,Yogurt,Dodla Dairy,132,40.82,5417.6304,28,35,41.27,1444.45,Uttar Pradesh,Online,97,1205
Haryana,60,Medium,2020-06-06,Yogurt,Mother Dairy,558,63.64,35548.031200000005,21,5,68.44,342.2,Bihar,Online,553,1206
Telangana,21,Large,2020-12-06,Ice Cream,Amul,502,89.85,45134.35049999999,27,244,90.71,22133.24,West Bengal,Wholesale,258,1207
Telangana,61,Small,2020-08-11,Ghee,Sudha,469,97.53,45801.0633,81,78,92.77,7236.06,Bihar,Retail,391,1208
Delhi,71,Medium,2020-06-25,Ghee,Sudha,670,81.4,54540.442,135,48,80.47,3862.56,West Bengal,Online,622,1209
West Bengal,35,Large,2022-11-20,Ghee,Sudha,496,96.98,48135.0532,81,245,98.77,24198.65,Rajasthan,Retail,251,1210
Bihar,53,Medium,2019-09-16,Ice Cream,Palle2patnam,875,27.14,23757.5418,25,571,29.59,16895.89,Delhi,Retail,304,1211
Delhi,12,Medium,2022-12-02,Buttermilk,Mother Dairy,20,36.58,753.1822,10,13,35.27,458.51,Rajasthan,Retail,7,1212
Chandigarh,43,Small,2019-06-24,Butter,Mother Dairy,703,49.97,35137.904599999994,40,690,47.93,33071.7,Uttar Pradesh,Retail,13,1213
Maharashtra,54,Small,2019-01-21,Yogurt,Amul,443,44.87,19909.2677,28,243,43.17,10490.31,West Bengal,Wholesale,200,1214
Rajasthan,87,Small,2019-06-06,Yogurt,Dodla Dairy,767,34.57,26529.7094,26,552,33.07,18254.64,Jharkhand,Retail,215,1215
Delhi,13,Small,2019-04-24,Ghee,Sudha,334,98.39,32917.3584,117,161,102.43,16491.23,Chandigarh,Retail,173,1216
Gujarat,38,Large,2019-08-23,Lassi,Amul,788,27.38,21600.3558,12,778,24.57,19115.46,Kerala,Retail,10,1217
Bihar,20,Small,2022-07-24,Butter,Warana,267,51.67,13813.457799999998,25,241,53.19,12818.79,Rajasthan,Wholesale,26,1218
Karnataka,28,Medium,2021-05-01,Paneer,Amul,171,71.61,12256.7676,10,157,70.92,11134.44,Madhya Pradesh,Retail,14,1219
Kerala,99,Large,2020-06-05,Paneer,Mother Dairy,436,30.38,13252.3636,7,38,33.93,1289.34,Jharkhand,Retail,398,1220
Chandigarh,57,Medium,2019-08-01,Yogurt,Amul,557,83.3,46470.571,26,294,88.08,25895.52,Bihar,Online,263,1221
Delhi,98,Medium,2021-09-06,Curd,Sudha,901,36.3,32738.244,6,737,39.92,29421.04,Uttar Pradesh,Retail,164,1222
Chandigarh,45,Large,2020-09-04,Lassi,Mother Dairy,799,45.0,35969.85,14,590,46.63,27511.7,Telangana,Online,209,1223
Haryana,29,Small,2020-11-14,Cheese,Amul,602,71.2,42931.46400000001,57,426,68.55,29202.3,Maharashtra,Wholesale,176,1224
Madhya Pradesh,65,Medium,2021-03-02,Milk,Mother Dairy,757,26.02,19711.451,1,476,30.97,14741.72,Haryana,Online,281,1225
Delhi,47,Large,2020-09-10,Buttermilk,Mother Dairy,728,73.85,53796.0325,8,211,70.94,14968.34,Chandigarh,Online,517,1226
Chandigarh,84,Medium,2019-04-01,Curd,Sudha,273,85.59,23370.3495,6,214,83.73,17918.22,Kerala,Online,59,1227
Kerala,14,Large,2019-10-18,Milk,Amul,538,76.31,41066.2265,1,449,73.32,32920.68,Madhya Pradesh,Online,89,1228
Chandigarh,26,Small,2020-05-26,Curd,Raj,352,28.69,10118.3892,7,104,32.53,3383.12,West Bengal,Wholesale,248,1229
Haryana,39,Small,2021-12-24,Curd,Mother Dairy,812,51.91,42170.6458,5,582,50.41,29338.62,Delhi,Wholesale,230,1230
Chandigarh,70,Large,2019-09-20,Cheese,Dynamix Dairies,676,25.15,17003.412,47,649,20.17,13090.33,Haryana,Online,27,1231
Jharkhand,81,Small,2020-03-26,Butter,Parag Milk Foods,246,80.91,19978.2972,36,19,84.25,1600.75,Karnataka,Retail,227,1232
Haryana,68,Large,2020-03-02,Milk,Mother Dairy,31,45.14,1409.2708,29,8,47.33,378.64,Kerala,Retail,23,1233
Maharashtra,31,Medium,2022-05-07,Butter,Parag Milk Foods,264,82.89,21889.5912,36,108,85.23,9204.84,Haryana,Online,156,1234
Bihar,56,Large,2019-05-10,Milk,Mother Dairy,892,16.89,15066.2178,1,367,18.43,6763.81,Kerala,Wholesale,525,1235
Uttar Pradesh,33,Large,2019-01-18,Milk,Amul,411,90.18,37137.9276,30,353,91.04,32137.12,Delhi,Wholesale,58,1236
Haryana,16,Large,2021-05-07,Yogurt,Amul,817,12.17,9953.9647,30,738,13.68,10095.84,Maharashtra,Wholesale,79,1237
Tamil Nadu,54,Medium,2020-12-02,Milk,Mother Dairy,737,34.03,25099.1668,2,329,37.97,12492.13,Karnataka,Online,408,1238
Gujarat,64,Small,2020-01-07,Cheese,Amul,843,31.26,26360.3076,50,169,28.21,4767.49,Jharkhand,Online,674,1239
Bihar,51,Large,2021-06-21,Milk,Sudha,728,92.03,67064.10160000001,1,612,96.62,59131.44,Gujarat,Retail,116,1240
Chandigarh,43,Medium,2021-04-07,Cheese,Dynamix Dairies,18,41.98,782.0873999999999,83,15,39.4,591.0,Kerala,Wholesale,3,1241
Chandigarh,89,Medium,2019-01-14,Cheese,Amul,248,37.91,9430.4916,47,167,39.67,6624.89,Bihar,Wholesale,81,1242
Kerala,91,Small,2022-07-15,Butter,Warana,617,46.31,28589.015400000004,35,433,49.0,21217.0,Telangana,Wholesale,184,1243
Delhi,68,Medium,2022-05-15,Butter,Mother Dairy,98,14.19,1399.4178,34,9,17.96,161.64,Madhya Pradesh,Wholesale,89,1244
Uttar Pradesh,56,Medium,2020-02-10,Cheese,Britannia Industries,656,24.9,16352.826,33,220,27.5,6050.0,Uttar Pradesh,Online,436,1245
Haryana,25,Medium,2021-08-04,Buttermilk,Mother Dairy,318,79.34,25271.3768,11,180,75.28,13550.4,Kerala,Wholesale,138,1246
Telangana,47,Small,2021-12-01,Ghee,Amul,387,10.56,4089.888,118,335,15.19,5088.65,Chandigarh,Retail,52,1247
Rajasthan,28,Medium,2019-08-05,Milk,Amul,631,22.25,14058.885,22,473,27.02,12780.46,Karnataka,Retail,158,1248
Kerala,55,Small,2022-01-26,Milk,Raj,611,90.62,55389.6626,24,218,91.17,19875.06,Tamil Nadu,Retail,393,1249
Rajasthan,25,Small,2022-06-25,Paneer,Raj,678,72.79,49353.8037,10,282,72.4,20416.8,Gujarat,Online,396,1250
Delhi,25,Small,2021-04-01,Paneer,Raj,124,67.53,8429.0946,14,101,68.87,6955.87,Delhi,Online,23,1251
Delhi,99,Small,2019-07-04,Curd,Raj,571,50.97,29125.7871,7,523,50.92,26631.16,Bihar,Wholesale,48,1252
Madhya Pradesh,44,Medium,2020-06-03,Milk,Raj,493,60.09,29639.3925,1,216,56.95,12301.2,Rajasthan,Online,277,1253
Chandigarh,67,Large,2022-08-09,Butter,Mother Dairy,479,98.28,47132.1396,37,199,98.95,19691.05,Madhya Pradesh,Wholesale,280,1254
Uttar Pradesh,36,Small,2022-06-26,Buttermilk,Raj,123,85.08,10490.364,7,25,82.79,2069.75,Bihar,Online,98,1255
Telangana,73,Small,2019-06-11,Buttermilk,Amul,749,38.62,28938.7384,7,552,33.72,18613.44,Telangana,Retail,197,1256
Telangana,53,Large,2019-08-05,Lassi,Raj,644,78.79,50812.458900000005,14,524,74.0,38776.0,Maharashtra,Retail,120,1257
Maharashtra,59,Medium,2021-02-23,Milk,Mother Dairy,31,25.98,809.2769999999999,1,4,25.85,103.4,West Bengal,Online,27,1258
Karnataka,19,Small,2021-06-18,Cheese,Passion Cheese,779,64.68,50414.179200000006,56,26,68.73,1786.98,Kerala,Online,753,1259
Chandigarh,60,Large,2019-07-25,Ice Cream,Mother Dairy,641,77.61,49751.8905,29,169,80.43,13592.67,Rajasthan,Online,472,1260
Chandigarh,52,Medium,2019-11-27,Lassi,Raj,282,51.3,14481.477,13,174,52.25,9091.5,Telangana,Wholesale,108,1261
Madhya Pradesh,25,Large,2019-12-13,Lassi,Mother Dairy,788,93.28,73578.3312,16,767,92.87,71231.29,Uttar Pradesh,Wholesale,21,1262
Delhi,27,Medium,2021-04-11,Lassi,Sudha,742,29.74,22079.5708,17,309,27.2,8404.8,Bihar,Wholesale,433,1263
Karnataka,12,Medium,2022-11-27,Butter,Warana,353,95.27,33679.8504,30,153,94.74,14495.22,West Bengal,Online,200,1264
Delhi,68,Medium,2020-02-27,Paneer,Mother Dairy,909,40.36,36701.7696,11,433,35.69,15453.77,Chandigarh,Online,476,1265
Madhya Pradesh,95,Small,2022-11-20,Curd,Sudha,923,98.45,90942.203,7,682,101.84,69454.88,West Bengal,Retail,241,1266
Haryana,53,Small,2021-08-09,Cheese,Passion Cheese,389,41.7,16251.324000000002,58,327,41.18,13465.86,West Bengal,Wholesale,62,1267
Karnataka,67,Large,2020-02-17,Yogurt,Dodla Dairy,145,52.5,7632.45,22,144,50.28,7240.32,Karnataka,Online,1,1268
Madhya Pradesh,32,Large,2020-05-23,Buttermilk,Amul,695,80.4,55933.47600000001,10,304,78.42,23839.68,Bihar,Wholesale,391,1269
Uttar Pradesh,50,Large,2019-06-01,Cheese,Passion Cheese,845,47.2,39903.352,65,371,49.08,18208.68,Delhi,Retail,474,1270
Uttar Pradesh,52,Medium,2020-01-21,Butter,Warana,555,97.83,54342.6084,33,10,101.06,1010.6,Haryana,Retail,545,1271
Telangana,86,Large,2021-02-14,Curd,Mother Dairy,777,23.68,18404.096,7,224,23.98,5371.52,Bihar,Online,553,1272
Telangana,10,Large,2021-07-28,Milk,Mother Dairy,516,46.39,23970.1769,22,313,48.17,15077.21,Delhi,Retail,203,1273
Kerala,32,Large,2021-08-28,Lassi,Raj,68,90.47,6229.7642,13,67,88.27,5914.09,Telangana,Online,1,1274
Chandigarh,35,Small,2019-06-11,Lassi,Mother Dairy,396,48.32,19169.9936,16,340,51.48,17503.2,Chandigarh,Retail,56,1275
Haryana,49,Medium,2019-01-24,Milk,Raj,64,70.75,4546.395,1,30,70.83,2124.9,Karnataka,Retail,34,1276
Karnataka,79,Large,2022-06-25,Butter,Parag Milk Foods,311,81.4,25320.284000000003,39,246,83.96,20654.16,Maharashtra,Retail,65,1277
Karnataka,16,Medium,2020-05-23,Paneer,Amul,459,72.58,33343.252,11,290,69.49,20152.1,Madhya Pradesh,Retail,169,1278
Tamil Nadu,41,Large,2019-09-08,Buttermilk,Sudha,92,12.11,1120.5383,10,18,8.18,147.24,Chandigarh,Online,74,1279
Telangana,99,Large,2021-07-11,Cheese,Amul,912,59.71,54469.8504,44,132,59.86,7901.52,Kerala,Online,780,1280
Haryana,88,Large,2022-04-26,Paneer,Mother Dairy,663,40.96,27165.4912,8,208,38.9,8091.2,Uttar Pradesh,Retail,455,1281
Jharkhand,90,Large,2020-02-16,Yogurt,Palle2patnam,133,99.37,13262.9139,30,51,102.33,5218.83,Karnataka,Retail,82,1282
Jharkhand,69,Medium,2022-03-04,Buttermilk,Mother Dairy,495,64.61,31987.7649,7,148,67.14,9936.72,Jharkhand,Retail,347,1283
Delhi,15,Medium,2020-10-12,Butter,Warana,941,40.15,37809.6565,37,342,39.22,13413.24,Uttar Pradesh,Retail,599,1284
Delhi,30,Medium,2019-06-21,Curd,Raj,20,54.69,1125.5202,5,7,57.01,399.07,Maharashtra,Wholesale,13,1285
Delhi,65,Medium,2019-11-13,Cheese,Passion Cheese,244,84.78,20719.3842,31,99,79.93,7913.07,Karnataka,Retail,145,1286
Bihar,68,Large,2019-09-22,Butter,Parag Milk Foods,28,33.16,942.4072,37,25,31.11,777.75,Chandigarh,Online,3,1287
Delhi,77,Medium,2021-10-24,Ghee,Mother Dairy,456,57.42,26209.9332,128,89,55.82,4967.98,Karnataka,Online,367,1288
Delhi,44,Large,2022-06-25,Ice Cream,Palle2patnam,818,86.39,70708.4872,24,588,87.05,51185.4,Jharkhand,Retail,230,1289
Maharashtra,98,Small,2019-02-18,Cheese,Britannia Industries,559,61.11,34167.8232,70,366,61.17,22388.22,Madhya Pradesh,Retail,193,1290
Delhi,49,Medium,2021-02-22,Curd,Raj,734,56.93,41792.313,6,359,53.77,19303.43,Rajasthan,Retail,375,1291
Uttar Pradesh,82,Small,2019-01-01,Lassi,Amul,963,89.01,85730.8716,13,429,92.35,39618.15,Rajasthan,Online,534,1292
Chandigarh,74,Medium,2022-08-15,Milk,Sudha,989,12.43,12298.4906,26,940,8.07,7585.8,Delhi,Online,49,1293
Gujarat,31,Large,2020-11-10,Ice Cream,Dodla Dairy,458,48.94,22448.778,26,117,44.1,5159.7,Uttar Pradesh,Online,341,1294
Haryana,35,Large,2019-01-11,Cheese,Amul,447,34.7,15523.045000000002,62,125,32.71,4088.75,Delhi,Online,322,1295
Madhya Pradesh,68,Large,2022-05-20,Ice Cream,Mother Dairy,127,49.39,6293.7677,21,71,49.29,3499.59,Delhi,Online,56,1296
Delhi,63,Large,2020-04-14,Butter,Parag Milk Foods,307,69.69,21415.0401,29,286,74.23,21229.78,Haryana,Retail,21,1297
Delhi,11,Medium,2019-09-16,Milk,Raj,987,74.09,73136.4617,27,860,71.08,61128.8,Bihar,Retail,127,1298
Delhi,55,Medium,2020-09-05,Lassi,Mother Dairy,198,25.71,5101.3782,15,86,26.57,2285.02,Madhya Pradesh,Online,112,1299
Maharashtra,92,Small,2020-05-13,Cheese,Amul,360,47.81,17242.6765,76,86,51.3,4411.8,Karnataka,Wholesale,274,1300
Telangana,29,Medium,2020-09-22,Ice Cream,Mother Dairy,37,50.17,1856.7917,30,27,49.17,1327.59,Haryana,Retail,10,1301
Telangana,53,Large,2022-07-01,Curd,Amul,956,19.04,18210.4272,6,419,20.77,8702.63,Karnataka,Retail,537,1302
Delhi,58,Medium,2019-03-17,Yogurt,Dodla Dairy,105,59.73,6285.3879,30,50,60.32,3016.0,Telangana,Retail,55,1303
Delhi,73,Medium,2019-03-18,Buttermilk,Sudha,205,90.57,18585.8697,9,115,93.05,10700.75,Delhi,Online,90,1304
Haryana,96,Small,2020-04-21,Ice Cream,Mother Dairy,499,18.67,9318.7571,28,240,16.92,4060.8,Madhya Pradesh,Retail,259,1305
Gujarat,84,Small,2021-12-01,Ice Cream,Dodla Dairy,869,94.0,81766.84,29,91,92.81,8445.71,Kerala,Wholesale,778,1306
Madhya Pradesh,52,Medium,2021-11-24,Cheese,Amul,657,78.15,51402.381,62,88,83.14,7316.32,Tamil Nadu,Retail,569,1307
Delhi,68,Large,2020-07-07,Yogurt,Amul,378,21.1,7995.001000000001,29,297,22.96,6819.12,Delhi,Retail,81,1308
Chandigarh,82,Large,2022-10-23,Paneer,Amul,212,13.69,2907.756,14,139,14.54,2021.06,Delhi,Retail,73,1309
Chandigarh,93,Medium,2019-06-23,Lassi,Mother Dairy,136,73.06,9938.3518,18,25,74.06,1851.5,Karnataka,Wholesale,111,1310
West Bengal,14,Medium,2021-03-15,Ice Cream,Palle2patnam,704,95.38,67147.51999999999,27,386,98.03,37839.58,Bihar,Online,318,1311
Tamil Nadu,99,Small,2020-09-18,Paneer,Mother Dairy,121,73.13,8917.4722,13,13,73.22,951.86,Chandigarh,Online,108,1312
Chandigarh,47,Large,2019-01-03,Buttermilk,Raj,448,91.3,40954.441,11,342,93.05,31823.1,Karnataka,Wholesale,106,1313
Chandigarh,44,Small,2021-08-21,Ghee,Mother Dairy,127,93.33,11891.1753,84,32,96.34,3082.88,Chandigarh,Wholesale,95,1314
Gujarat,22,Medium,2020-03-25,Lassi,Amul,930,53.39,49705.0222,17,201,49.82,10013.82,Uttar Pradesh,Retail,729,1315
Jharkhand,15,Large,2021-03-19,Ice Cream,Amul,322,25.46,8218.488000000001,24,16,20.59,329.44,Gujarat,Online,306,1316
Maharashtra,22,Medium,2019-07-14,Yogurt,Mother Dairy,938,45.82,42993.3642,21,893,48.66,43453.38,Delhi,Retail,45,1317
Telangana,92,Medium,2022-05-24,Paneer,Raj,809,47.46,38424.5652,8,327,44.8,14649.6,Uttar Pradesh,Wholesale,482,1318
Jharkhand,33,Large,2021-11-04,Lassi,Amul,784,39.97,31367.6566,18,650,44.94,29211.0,Tamil Nadu,Retail,134,1319
